[timofey@localhost hw14]$ docker-compose up
Creating otus-percona ... done
Attaching to otus-percona
otus-percona | Initializing database
otus-percona | 2019-06-21T18:38:25.183918Z 0 [Warning] TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details).
otus-percona |  100
otus-percona |  100
otus-percona | 2019-06-21T18:38:26.172175Z 0 [Warning] InnoDB: New log files created, LSN=45790
otus-percona | 2019-06-21T18:38:26.272727Z 0 [Warning] InnoDB: Creating foreign key constraint system tables.
otus-percona | 2019-06-21T18:38:26.336046Z 0 [Warning] No existing UUID has been found, so we assume that this is the first time that this server has been started. Generating a new UUID: c1a2822f-9453-11e9-aafc-0242ac120002.
otus-percona | 2019-06-21T18:38:26.348342Z 0 [Warning] Gtid table is not ready to be used. Table 'mysql.gtid_executed' cannot be opened.
otus-percona | 2019-06-21T18:38:27.349608Z 0 [Warning] CA certificate ca.pem is self signed.
otus-percona | 2019-06-21T18:38:27.575207Z 1 [Warning] root@localhost is created with an empty password ! Please consider switching off the --initialize-insecure option.
otus-percona | Database initialized
otus-percona | MySQL init process in progress...
otus-percona | 2019-06-21T18:38:33.731827Z 0 [Warning] TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details).
otus-percona | 2019-06-21T18:38:33.737514Z 0 [Note] mysqld (mysqld 5.7.26-29) starting as process 50 ...
otus-percona | 2019-06-21T18:38:33.754380Z 0 [Note] InnoDB: PUNCH HOLE support available
otus-percona | 2019-06-21T18:38:33.754666Z 0 [Note] InnoDB: Mutexes and rw_locks use GCC atomic builtins
otus-percona | 2019-06-21T18:38:33.754695Z 0 [Note] InnoDB: Uses event mutexes
otus-percona | 2019-06-21T18:38:33.754712Z 0 [Note] InnoDB: GCC builtin __atomic_thread_fence() is used for memory barrier
otus-percona | 2019-06-21T18:38:33.754727Z 0 [Note] InnoDB: Compressed tables use zlib 1.2.7
otus-percona | 2019-06-21T18:38:33.754738Z 0 [Note] InnoDB: Using Linux native AIO
otus-percona | 2019-06-21T18:38:33.755830Z 0 [Note] InnoDB: Number of pools: 1
otus-percona | 2019-06-21T18:38:33.756394Z 0 [Note] InnoDB: Using CPU crc32 instructions
otus-percona | 2019-06-21T18:38:33.777350Z 0 [Note] InnoDB: Initializing buffer pool, total size = 768M, instances = 1, chunk size = 128M
otus-percona | 2019-06-21T18:38:33.935933Z 0 [Note] InnoDB: Completed initialization of buffer pool
otus-percona | 2019-06-21T18:38:33.998478Z 0 [Note] InnoDB: If the mysqld execution user is authorized, page cleaner thread priority can be changed. See the man page of setpriority().
otus-percona | 2019-06-21T18:38:34.011632Z 0 [Note] InnoDB: Crash recovery did not find the parallel doublewrite buffer at /var/lib/mysql/xb_doublewrite
otus-percona | 2019-06-21T18:38:34.015171Z 0 [Note] InnoDB: Highest supported file format is Barracuda.
otus-percona | 2019-06-21T18:38:34.125849Z 0 [Note] InnoDB: Created parallel doublewrite buffer at /var/lib/mysql/xb_doublewrite, size 3932160 bytes
otus-percona | 2019-06-21T18:38:34.164524Z 0 [Note] InnoDB: Creating shared tablespace for temporary tables
otus-percona | 2019-06-21T18:38:34.165187Z 0 [Note] InnoDB: Setting file './ibtmp1' size to 12 MB. Physically writing the file full; Please wait ...
otus-percona | 2019-06-21T18:38:34.291195Z 0 [Note] InnoDB: File './ibtmp1' size is now 12 MB.
otus-percona | 2019-06-21T18:38:34.295263Z 0 [Note] InnoDB: 96 redo rollback segment(s) found. 96 redo rollback segment(s) are active.
otus-percona | 2019-06-21T18:38:34.295331Z 0 [Note] InnoDB: 32 non-redo rollback segment(s) are active.
otus-percona | 2019-06-21T18:38:34.296720Z 0 [Note] InnoDB: Waiting for purge to start
otus-percona | 2019-06-21T18:38:34.347778Z 0 [Note] InnoDB: Percona XtraDB (http://www.percona.com) 5.7.26-29 started; log sequence number 2530464
otus-percona | 2019-06-21T18:38:34.349729Z 0 [Note] InnoDB: Loading buffer pool(s) from /var/lib/mysql/ib_buffer_pool
otus-percona | 2019-06-21T18:38:34.353096Z 0 [Note] Plugin 'FEDERATED' is disabled.
